trade_code,industry
002406.SZ,汽车零部件Ⅱ
002407.SZ,化学制品
002408.SZ,化学制品
002409.SZ,化学制品
002410.SZ,计算机应用
002411.SZ,化学制品
002412.SZ,中药Ⅱ
002413.SZ,白色家电
002414.SZ,其他电子Ⅱ
002415.SZ,计算机设备Ⅱ
002416.SZ,专业零售
002417.SZ,通信设备
002418.SZ,白色家电
002419.SZ,一般零售
002420.SZ,视听器材
002421.SZ,计算机应用
002422.SZ,化学制药
002423.SZ,通用机械
002424.SZ,中药Ⅱ
002425.SZ,服装家纺
002426.SZ,通用机械
002427.SZ,化学纤维
002428.SZ,稀有金属
002429.SZ,视听器材
002430.SZ,专用设备
002431.SZ,园林工程Ⅱ
002432.SZ,医疗器械Ⅱ
002433.SZ,中药Ⅱ
002434.SZ,汽车零部件Ⅱ
002435.SZ,专用设备
002436.SZ,元件Ⅱ
002437.SZ,化学制药
002438.SZ,通用机械
002439.SZ,计算机应用
002440.SZ,化学制品
002441.SZ,高低压设备
002442.SZ,橡胶
002443.SZ,钢铁Ⅱ
002444.SZ,通用机械
002445.SZ,金属制品Ⅱ
002446.SZ,通信设备
002447.SZ,渔业
002448.SZ,汽车零部件Ⅱ
002449.SZ,光学光电子
002450.SZ,塑料Ⅱ
002451.SZ,高低压设备
002452.SZ,高低压设备
002453.SZ,化学制品
002454.SZ,汽车零部件Ⅱ
002455.SZ,化学制品
002456.SZ,光学光电子
002457.SZ,其他建材Ⅱ
002458.SZ,畜禽养殖Ⅱ
002459.SZ,专用设备
002460.SZ,稀有金属
002461.SZ,饮料制造
002462.SZ,医药商业Ⅱ
